pair_id,label_A,label_B,text_A,text_B
1,"Some ancient historical precedent exists for preferring $10$, but also for $6$, so that's mixed support from Wikipedia on perfect numbers.","This is indeed possible, but I haven't seen it done experimentally for reasons other than feasibility."

t,cos_to_A,cos_to_B,nn_rank,nn_cos,nn_text
0.0,0.7649667263031006,0.5843881368637085,1,0.8470487594604492,A girl doing a back bend at the beach.
0.0,0.7649667263031006,0.5843881368637085,2,0.8469847440719604,A dog is rolling from side to side.
0.0,0.7649667263031006,0.5843881368637085,3,0.8469808101654053,A cat is sliding upside down under a couch.
0.0,0.7649667263031006,0.5843881368637085,4,0.8469738960266113,A man pours water over a pilots head.
0.0,0.7649667263031006,0.5843881368637085,5,0.8469187617301941,A black dog is running through some water.
0.1,0.7557730078697205,0.5990433692932129,1,0.8293881416320801,A black and a yellow dog
0.1,0.7557730078697205,0.5990433692932129,2,0.8287395238876343,An animal run in circles.
0.1,0.7557730078697205,0.5990433692932129,3,0.8284798860549927,A kangroo is eating something.
0.1,0.7557730078697205,0.5990433692932129,4,0.8283770084381104,A man is giving an interview.
0.1,0.7557730078697205,0.5990433692932129,5,0.8283569812774658,A dog is wearing a gray jacket.
0.2,0.769808292388916,0.5660251379013062,1,0.8548040390014648,A woman is dicing a potato.
0.2,0.769808292388916,0.5660251379013062,2,0.8546136021614075,A person is dicing an onion.
0.2,0.769808292388916,0.5660251379013062,3,0.8545447587966919,A long train is on train tracks.
0.2,0.769808292388916,0.5660251379013062,4,0.8541545867919922,A Dalmation runs along a beach.
0.2,0.769808292388916,0.5660251379013062,5,0.8541485071182251,A boy is upset playing video games.
0.3,0.7459210753440857,0.5723761916160583,1,0.8197148442268372,A man is speaking at a podium.
0.3,0.7459210753440857,0.5723761916160583,2,0.8195230960845947,An elderly man is speaking at a podium.
0.3,0.7459210753440857,0.5723761916160583,3,0.8194804787635803,A woman is speaking in sign language.
0.3,0.7459210753440857,0.5723761916160583,4,0.8191947937011719,A blue motorcycle is parked on the sidewalk.
0.3,0.7459210753440857,0.5723761916160583,5,0.8191627264022827,A woman is cutting a plastic sheet.
0.4,0.7413055300712585,0.5750920176506042,1,0.8463283777236938,A woman is stroking a lemur.
0.4,0.7413055300712585,0.5750920176506042,2,0.8462910652160645,the man used a stenograph.
0.4,0.7413055300712585,0.5750920176506042,3,0.8462579250335693,The man is holding a lemur.
0.4,0.7413055300712585,0.5750920176506042,4,0.8461148738861084,The woman is seasoning the oil.
0.4,0.7413055300712585,0.5750920176506042,5,0.8460544347763062,A woman is speaking in sign language.
0.5,0.7729759812355042,0.599972128868103,1,0.8595749139785767,A young boy is holding a guitar.
0.5,0.7729759812355042,0.599972128868103,2,0.859247088432312,A young girl is using sign language.
0.5,0.7729759812355042,0.599972128868103,3,0.8591984510421753,A young boy is riding a bike.
0.5,0.7729759812355042,0.599972128868103,4,0.8591688871383667,A man is playing an electronic keyboard.
0.5,0.7729759812355042,0.599972128868103,5,0.8591313362121582,A little girl is playing the piano.
0.6,0.7675061821937561,0.5920064449310303,1,0.8443149328231812,A person folds a tortilla.
0.6,0.7675061821937561,0.5920064449310303,2,0.8441245555877686,The man sat in his suit and smoked.
0.6,0.7675061821937561,0.5920064449310303,3,0.8439006209373474,A man folds a tortilla.
0.6,0.7675061821937561,0.5920064449310303,4,0.8437636494636536,The man is holding a lemur.
0.6,0.7675061821937561,0.5920064449310303,5,0.8434740304946899,A nuclear weapon explodes in a desert.
0.7,0.7593290209770203,0.5400708913803101,1,0.8402400016784668,A bicycle is parked outside a bookstore.
0.7,0.7593290209770203,0.5400708913803101,2,0.8400630950927734,A small dog is chasing a yoga ball.
0.7,0.7593290209770203,0.5400708913803101,3,0.8399999141693115,A band is performing on a stage.
0.7,0.7593290209770203,0.5400708913803101,4,0.8398303389549255,A group of people are marching in place.
0.7,0.7593290209770203,0.5400708913803101,5,0.8397364616394043,A boy runs away from his fishing line.
0.8,0.752913773059845,0.5581124424934387,1,0.8441251516342163,The sun is rising behind trees.
0.8,0.752913773059845,0.5581124424934387,2,0.8438342213630676,A baseball player hitting the ball
0.8,0.752913773059845,0.5581124424934387,3,0.8438317775726318,A cat is playing keyboards.
0.8,0.752913773059845,0.5581124424934387,4,0.8436596393585205,A bear is fighting wolves.
0.8,0.752913773059845,0.5581124424934387,5,0.8435901999473572,The man is peeling an apple.
0.9,0.7354539632797241,0.5364089012145996,1,0.8090581893920898,Some children are raising their hands and clapping.
0.9,0.7354539632797241,0.5364089012145996,2,0.8089594841003418,Some is grating onion into water.
0.9,0.7354539632797241,0.5364089012145996,3,0.8086507320404053,A man is assembling speaker parts.
0.9,0.7354539632797241,0.5364089012145996,4,0.8086274862289429,Some kids play in a field.
0.9,0.7354539632797241,0.5364089012145996,5,0.8085804581642151,Some men are skating on the road.
1.0,0.7772265076637268,0.5694214701652527,1,0.8523815274238586,A computer operating on a desk.
1.0,0.7772265076637268,0.5694214701652527,2,0.8519325256347656,A white train pulling into a station.
1.0,0.7772265076637268,0.5694214701652527,3,0.8518466949462891,A mostly black train on a track.
1.0,0.7772265076637268,0.5694214701652527,4,0.8517193794250488,A boy looking at a computer screen.
1.0,0.7772265076637268,0.5694214701652527,5,0.851708173751831,A long train is on train tracks.
